Trial_Number,Primary_Voltage_V,Primary_Current_A,Primary_Power_kW,Primary_Power_Factor,Secondary_Voltage_V,Secondary_Current_A,Secondary_Power_kW,Secondary_Power_Factor,Temperature_C,Humidity_percent,Efficiency_percent,Load_Category,Temp_Zone
24,225.54,23.83,4.05,0.754,19.36,12.74,0.18,0.741,105.0,38.5,87.6168954031382,Medium (50-70%),High (85-105°C)
25,227.12,16.92,2.69,0.701,19.46,12.1,0.18,0.752,118.2,58.6,75.0,Light (<50%),Critical (105-130°C)
26,229.52,23.64,4.7,0.867,19.35,8.18,0.11,0.725,64.9,82.9,90.16022961501926,Medium (50-70%),Normal (<85°C)
27,226.25,12.57,2.43,0.856,19.53,10.25,0.16,0.824,46.0,85.1,86.68424861398998,Light (<50%),Normal (<85°C)
28,225.12,28.41,4.9,0.766,19.56,13.42,0.23,0.873,126.7,38.7,83.14577975401333,Heavy (>70%),Critical (105-130°C)
29,226.11,30.41,5.45,0.792,19.18,13.36,0.19,0.746,29.9,33.5,86.44737497816561,Heavy (>70%),Normal (<85°C)
30,228.21,19.99,4.09,0.896,19.32,14.51,0.2,0.723,146.4,32.5,75.0,Medium (50-70%),Emergency (>130°C)
31,228.64,17.84,3.35,0.821,19.31,10.08,0.16,0.815,58.3,69.6,88.19828999743454,Medium (50-70%),Normal (<85°C)
32,228.71,26.77,4.73,0.773,19.04,12.31,0.18,0.766,65.6,79.4,89.20517872585765,Heavy (>70%),Normal (<85°C)
33,227.01,17.39,2.86,0.725,19.25,14.52,0.23,0.835,138.0,63.1,75.0,Light (<50%),Emergency (>130°C)
34,227.15,24.5,4.62,0.831,19.28,10.54,0.15,0.743,85.2,83.1,84.25635602974565,Medium (50-70%),High (85-105°C)
35,228.16,18.38,3.62,0.864,19.45,12.38,0.18,0.745,51.5,21.7,86.71848468755371,Medium (50-70%),Normal (<85°C)
36,227.07,25.74,4.32,0.739,19.42,10.96,0.16,0.749,107.7,20.4,84.09543858182819,Heavy (>70%),Critical (105-130°C)
37,225.88,33.95,6.17,0.804,19.03,8.99,0.15,0.87,83.1,76.1,89.91011882532948,Heavy (>70%),Normal (<85°C)
38,229.46,25.32,4.9,0.844,19.3,13.64,0.21,0.81,137.4,72.1,75.0,Heavy (>70%),Emergency (>130°C)
39,228.83,23.03,4.35,0.825,19.16,7.62,0.11,0.757,60.4,42.4,90.02184943689716,Medium (50-70%),Normal (<85°C)
40,228.53,11.61,2.07,0.782,19.33,10.33,0.15,0.741,78.7,83.3,83.70678372835421,Light (<50%),Normal (<85°C)
41,226.9,10.15,1.77,0.77,19.45,13.83,0.24,0.891,78.5,72.3,82.18826490386431,Light (<50%),Normal (<85°C)
42,227.18,10.73,1.87,0.767,19.41,10.23,0.15,0.733,84.5,28.9,82.78317594907432,Light (<50%),Normal (<85°C)
43,225.14,26.07,4.27,0.727,19.28,7.4,0.11,0.776,53.0,42.9,91.59577285546581,Heavy (>70%),Normal (<85°C)
44,226.26,12.05,1.92,0.704,19.32,15.0,0.22,0.77,107.0,74.7,77.4780820470876,Light (<50%),Critical (105-130°C)
45,225.1,13.81,2.25,0.725,19.4,11.51,0.17,0.744,113.0,73.7,75.0,Light (<50%),Critical (105-130°C)
46,229.1,34.12,5.64,0.722,19.02,9.5,0.15,0.835,144.9,47.8,75.0,Heavy (>70%),Emergency (>130°C)
47,225.51,29.31,5.75,0.87,19.36,7.97,0.14,0.897,123.3,44.3,82.36369352458385,Heavy (>70%),Critical (105-130°C)
48,229.25,30.56,5.05,0.721,19.58,12.08,0.2,0.866,114.0,50.5,83.93459765642027,Heavy (>70%),Critical (105-130°C)
49,227.69,22.09,3.96,0.787,19.44,9.15,0.15,0.87,129.2,26.1,81.42099511269157,Medium (50-70%),Critical (105-130°C)
50,226.89,10.72,2.12,0.87,19.11,8.7,0.14,0.86,68.9,81.6,82.94418773333109,Light (<50%),Normal (<85°C)
51,225.43,28.0,5.04,0.798,19.45,12.52,0.2,0.829,87.4,75.5,84.88861809039027,Heavy (>70%),High (85-105°C)
52,227.91,21.83,4.01,0.806,19.26,12.97,0.19,0.766,113.5,39.0,77.10866422376516,Medium (50-70%),Critical (105-130°C)
53,227.68,29.05,4.87,0.737,19.13,10.87,0.18,0.845,147.1,56.7,75.0,Heavy (>70%),Emergency (>130°C)
54,225.9,10.35,1.89,0.807,19.16,14.79,0.23,0.811,112.8,28.8,78.952192658879,Light (<50%),Critical (105-130°C)
55,227.35,21.01,3.52,0.737,19.03,14.53,0.22,0.796,128.1,48.0,79.14759275342097,Medium (50-70%),Critical (105-130°C)
56,227.81,17.6,3.6,0.899,19.07,13.12,0.21,0.821,124.3,35.8,82.61049999747854,Medium (50-70%),Critical (105-130°C)
57,229.95,17.63,3.34,0.824,19.37,12.92,0.22,0.89,52.6,34.8,87.2151946067035,Medium (50-70%),Normal (<85°C)
58,225.01,21.26,3.92,0.819,19.17,8.85,0.14,0.841,113.5,51.8,84.92517402149267,Medium (50-70%),Critical (105-130°C)
59,228.31,33.34,5.98,0.785,19.33,12.18,0.21,0.882,128.7,25.0,78.47762114795728,Heavy (>70%),Critical (105-130°C)
60,226.44,13.11,2.49,0.838,19.42,14.54,0.23,0.8,87.7,25.6,77.211103707236,Light (<50%),High (85-105°C)
61,225.46,34.05,6.66,0.867,19.35,14.61,0.25,0.9,109.7,38.9,80.81452846830106,Heavy (>70%),Critical (105-130°C)
62,229.58,14.54,2.73,0.817,19.38,10.93,0.15,0.718,69.8,43.3,84.94102102195029,Light (<50%),Normal (<85°C)
63,226.44,33.63,6.57,0.863,19.33,10.64,0.16,0.763,66.8,87.9,86.78298115944939,Heavy (>70%),Normal (<85°C)
64,227.71,20.33,3.42,0.738,19.22,13.05,0.21,0.825,120.5,34.2,84.07475008736652,Medium (50-70%),Critical (105-130°C)
65,225.61,34.33,6.37,0.822,19.14,8.27,0.13,0.81,94.9,26.5,86.61239844726867,Heavy (>70%),High (85-105°C)
66,229.16,22.46,4.34,0.843,19.31,9.19,0.15,0.867,147.6,37.1,75.07472267477868,Medium (50-70%),Emergency (>130°C)
67,229.4,31.6,5.47,0.755,19.47,10.32,0.18,0.887,89.5,77.4,84.26670699968801,Heavy (>70%),High (85-105°C)
68,227.45,13.71,2.52,0.808,19.21,11.42,0.18,0.809,83.0,42.5,81.11068733817368,Light (<50%),Normal (<85°C)
69,228.88,11.09,2.15,0.849,19.42,13.49,0.2,0.777,108.6,77.5,77.9568734503989,Light (<50%),Critical (105-130°C)
70,227.95,31.74,6.33,0.875,19.26,11.21,0.17,0.791,115.9,48.7,80.32761089172266,Heavy (>70%),Critical (105-130°C)
71,226.69,27.32,5.14,0.83,19.51,13.82,0.24,0.872,73.7,42.2,90.84769729951306,Heavy (>70%),Normal (<85°C)
72,225.34,25.78,5.14,0.884,19.6,12.97,0.2,0.787,39.1,64.4,92.71027218615146,Heavy (>70%),Normal (<85°C)
73,225.23,29.9,5.11,0.759,19.22,8.16,0.13,0.806,96.6,75.5,82.09913110561224,Heavy (>70%),High (85-105°C)
74,226.2,32.82,5.41,0.729,19.28,9.03,0.13,0.751,28.2,76.3,87.05518935081145,Heavy (>70%),Normal (<85°C)
75,226.73,24.69,4.64,0.828,19.25,9.0,0.15,0.869,51.5,46.9,90.52443579053593,Heavy (>70%),Normal (<85°C)
76,229.96,17.38,3.58,0.896,19.39,9.2,0.15,0.813,111.4,72.1,75.91246587268118,Light (<50%),Critical (105-130°C)
77,226.43,29.97,5.57,0.821,19.21,12.09,0.19,0.824,110.4,70.5,83.5202111122189,Heavy (>70%),Critical (105-130°C)
78,228.23,17.72,3.19,0.788,19.35,12.86,0.18,0.718,63.3,72.3,87.47446874363402,Medium (50-70%),Normal (<85°C)
79,227.65,32.84,6.47,0.866,19.15,13.6,0.21,0.796,126.2,72.3,76.90227104501766,Heavy (>70%),Critical (105-130°C)
80,229.83,31.5,6.12,0.845,19.59,14.74,0.25,0.861,72.0,75.3,85.70848514562125,Heavy (>70%),Normal (<85°C)
81,228.36,24.61,4.86,0.864,19.56,7.87,0.11,0.747,30.1,81.9,87.37965112348058,Heavy (>70%),Normal (<85°C)
82,229.12,32.73,5.7,0.76,19.24,8.12,0.14,0.889,64.4,54.5,85.91093127066668,Heavy (>70%),Normal (<85°C)
83,228.35,28.58,5.8,0.889,19.25,12.94,0.18,0.731,78.0,26.9,89.20814886056515,Heavy (>70%),Normal (<85°C)
84,226.85,21.08,4.26,0.89,19.51,7.79,0.13,0.837,94.0,88.4,81.8964791572618,Medium (50-70%),High (85-105°C)
85,229.24,21.37,4.08,0.833,19.39,11.78,0.16,0.704,123.8,37.0,80.82547212766575,Medium (50-70%),Critical (105-130°C)
86,226.04,15.4,3.04,0.874,19.2,8.18,0.14,0.88,27.3,80.1,78.02349136270418,Light (<50%),Normal (<85°C)
87,228.31,10.64,1.71,0.703,19.47,8.9,0.13,0.765,48.4,23.7,84.18873789626976,Light (<50%),Normal (<85°C)
88,228.89,22.83,3.77,0.722,19.3,14.56,0.2,0.709,123.3,80.7,80.29247622248351,Medium (50-70%),Critical (105-130°C)
89,227.39,20.04,3.81,0.837,19.29,14.28,0.2,0.715,36.9,62.6,86.5150693021451,Medium (50-70%),Normal (<85°C)
90,226.63,34.87,6.37,0.806,19.27,11.84,0.16,0.72,113.3,79.7,80.7050691989825,Heavy (>70%),Critical (105-130°C)
91,227.26,15.71,2.74,0.768,19.27,10.33,0.14,0.719,79.5,66.6,80.43139992440994,Light (<50%),Normal (<85°C)
92,229.16,12.33,2.03,0.719,19.44,13.49,0.21,0.811,99.1,59.3,78.59602156000874,Light (<50%),High (85-105°C)
93,228.75,31.7,6.12,0.844,19.58,11.8,0.18,0.77,98.1,34.9,84.72612025580403,Heavy (>70%),High (85-105°C)
94,226.84,29.07,5.37,0.815,19.48,13.76,0.24,0.895,127.7,63.0,82.51838236987899,Heavy (>70%),Critical (105-130°C)
95,226.34,14.51,2.76,0.841,19.19,9.72,0.13,0.701,134.0,59.6,75.0,Light (<50%),Emergency (>130°C)
96,228.73,15.38,2.76,0.784,19.2,9.96,0.16,0.844,122.6,59.7,75.0,Light (<50%),Critical (105-130°C)
97,228.37,16.8,3.19,0.832,19.29,10.54,0.15,0.755,119.9,28.0,75.07989826009276,Light (<50%),Critical (105-130°C)
98,228.34,11.14,1.98,0.779,19.36,7.06,0.1,0.76,53.0,29.6,81.6210423702893,Light (<50%),Normal (<85°C)
99,225.88,19.51,3.71,0.841,19.3,13.67,0.23,0.861,35.9,80.3,87.1763300408362,Medium (50-70%),Normal (<85°C)
100,227.88,24.33,4.67,0.842,19.25,7.92,0.11,0.704,66.9,76.1,90.07438964389365,Medium (50-70%),Normal (<85°C)
101,229.22,16.08,3.02,0.818,19.31,10.17,0.15,0.762,68.8,43.3,80.97985618696892,Light (<50%),Normal (<85°C)
102,229.53,18.73,3.63,0.845,19.49,13.52,0.2,0.747,45.0,33.8,88.31143838684169,Medium (50-70%),Normal (<85°C)
103,228.86,22.35,4.35,0.851,19.46,10.59,0.18,0.885,96.4,64.5,86.74287220417924,Medium (50-70%),High (85-105°C)
104,225.34,21.06,3.61,0.761,19.16,7.45,0.11,0.801,65.2,51.6,88.29275010177572,Medium (50-70%),Normal (<85°C)
105,229.28,25.38,4.66,0.801,19.28,11.43,0.19,0.858,137.2,51.5,78.51688708382922,Heavy (>70%),Emergency (>130°C)
106,225.75,11.55,1.88,0.721,19.54,9.75,0.16,0.843,89.1,32.1,78.97824410579663,Light (<50%),High (85-105°C)
107,225.79,19.32,3.3,0.757,19.25,9.71,0.15,0.82,124.1,65.3,77.14244092163435,Medium (50-70%),Critical (105-130°C)
108,228.62,26.41,5.32,0.881,19.52,9.67,0.15,0.817,44.4,44.5,92.65512368445474,Heavy (>70%),Normal (<85°C)
109,229.69,17.74,3.16,0.775,19.47,13.51,0.22,0.834,129.0,71.7,81.5402190989663,Medium (50-70%),Critical (105-130°C)
110,226.81,19.06,3.18,0.736,19.13,14.58,0.22,0.797,54.9,29.6,87.9826241610893,Medium (50-70%),Normal (<85°C)
111,229.18,32.09,5.21,0.708,19.2,13.13,0.18,0.726,73.3,31.4,87.23661749723217,Heavy (>70%),Normal (<85°C)
112,227.19,20.27,3.85,0.835,19.14,10.55,0.15,0.757,119.1,51.4,80.46704681509677,Medium (50-70%),Critical (105-130°C)
113,229.18,19.2,3.91,0.889,19.59,10.69,0.16,0.756,74.0,56.9,89.71519560381029,Medium (50-70%),Normal (<85°C)
114,226.25,26.03,5.15,0.875,19.33,7.82,0.13,0.869,131.7,40.0,75.4020459679748,Heavy (>70%),Emergency (>130°C)
115,227.19,33.66,5.69,0.744,19.27,9.8,0.13,0.705,33.6,55.1,84.65456263658444,Heavy (>70%),Normal (<85°C)
116,229.65,30.98,5.91,0.83,19.47,8.1,0.12,0.757,129.1,68.7,77.75575359491685,Heavy (>70%),Critical (105-130°C)
117,225.4,16.4,3.2,0.867,19.33,12.82,0.2,0.806,40.7,40.2,82.46169732591831,Light (<50%),Normal (<85°C)
118,227.29,12.77,2.56,0.881,19.36,7.13,0.11,0.803,56.8,30.1,82.89970278562562,Light (<50%),Normal (<85°C)
119,228.32,12.14,2.48,0.895,19.04,11.21,0.17,0.801,148.6,58.8,75.0,Light (<50%),Emergency (>130°C)
120,226.27,10.41,2.02,0.858,19.21,12.86,0.2,0.826,121.9,71.5,75.0,Light (<50%),Critical (105-130°C)
121,225.88,29.48,5.28,0.793,19.42,12.05,0.2,0.862,34.8,74.3,87.88840950114557,Heavy (>70%),Normal (<85°C)
122,225.21,33.33,6.03,0.803,19.59,11.34,0.17,0.751,119.7,33.4,80.54577405914404,Heavy (>70%),Critical (105-130°C)
123,225.62,19.2,3.8,0.878,19.45,14.16,0.21,0.777,146.8,54.7,79.19344426220533,Medium (50-70%),Emergency (>130°C)
124,228.64,11.97,2.24,0.82,19.49,11.36,0.17,0.764,36.8,66.3,82.25929442533646,Light (<50%),Normal (<85°C)
125,226.76,11.06,2.19,0.874,19.21,14.99,0.22,0.755,147.5,86.4,75.0,Light (<50%),Emergency (>130°C)
126,228.4,33.82,5.63,0.729,19.36,13.25,0.18,0.707,35.3,74.5,85.55528448656435,Heavy (>70%),Normal (<85°C)
127,228.4,33.72,5.96,0.774,19.46,11.59,0.18,0.806,76.0,65.5,85.2671318807694,Heavy (>70%),Normal (<85°C)
128,226.93,24.04,4.1,0.752,19.16,10.57,0.18,0.899,62.1,84.2,88.8361280557362,Medium (50-70%),Normal (<85°C)
129,229.49,21.13,3.48,0.718,19.41,13.76,0.2,0.764,69.7,24.5,89.63542731202163,Medium (50-70%),Normal (<85°C)
130,229.64,25.94,5.12,0.859,19.31,7.97,0.11,0.74,44.1,75.3,89.29098517886575,Heavy (>70%),Normal (<85°C)
131,227.76,25.3,4.13,0.717,19.19,15.0,0.24,0.844,91.7,73.8,87.52701576815913,Heavy (>70%),High (85-105°C)
132,227.25,27.0,4.72,0.769,19.53,13.24,0.21,0.828,49.4,87.6,86.68248336191704,Heavy (>70%),Normal (<85°C)
133,225.77,14.12,2.44,0.765,19.43,9.77,0.17,0.888,137.1,79.2,75.0,Light (<50%),Emergency (>130°C)
134,226.51,23.34,4.23,0.801,19.1,14.53,0.2,0.731,108.0,70.4,85.52570880197989,Medium (50-70%),Critical (105-130°C)
135,225.14,11.14,2.08,0.828,19.35,12.21,0.2,0.853,78.2,64.7,84.36995050986322,Light (<50%),Normal (<85°C)
136,227.41,30.12,5.73,0.837,19.18,7.58,0.1,0.712,81.1,53.9,86.32508865533731,Heavy (>70%),Normal (<85°C)
137,228.67,31.52,6.45,0.895,19.08,9.96,0.15,0.812,66.3,52.7,85.18063601490971,Heavy (>70%),Normal (<85°C)
138,226.92,25.38,4.32,0.75,19.52,8.28,0.12,0.765,98.1,41.9,87.90627912519295,Heavy (>70%),High (85-105°C)
139,226.54,10.58,2.13,0.889,19.3,14.73,0.21,0.743,70.4,23.5,84.01176056010458,Light (<50%),Normal (<85°C)
140,227.68,31.18,5.58,0.786,19.53,12.82,0.21,0.853,72.0,48.0,85.67059524922853,Heavy (>70%),Normal (<85°C)
141,227.52,29.11,5.01,0.756,19.59,12.44,0.18,0.724,146.9,47.6,76.77489551687839,Heavy (>70%),Emergency (>130°C)
142,226.0,22.73,4.11,0.8,19.03,8.1,0.12,0.767,85.3,52.0,86.12920436319403,Medium (50-70%),High (85-105°C)
143,225.81,34.77,6.66,0.848,19.18,9.69,0.16,0.866,92.5,69.6,85.10141917741905,Heavy (>70%),High (85-105°C)
144,229.9,24.59,4.86,0.859,19.44,12.5,0.17,0.705,85.4,87.7,88.28420033688893,Heavy (>70%),High (85-105°C)
145,227.92,14.26,2.68,0.826,19.37,13.73,0.19,0.73,110.7,22.2,75.70107745033756,Light (<50%),Critical (105-130°C)
146,225.76,27.26,4.81,0.782,19.46,14.36,0.24,0.875,117.5,24.4,81.06668039914305,Heavy (>70%),Critical (105-130°C)
147,227.63,17.84,2.98,0.735,19.55,9.74,0.15,0.771,122.0,70.5,81.12679250741014,Medium (50-70%),Critical (105-130°C)
148,226.23,23.95,4.04,0.745,19.58,9.38,0.14,0.758,52.5,69.3,90.276216068007,Medium (50-70%),Normal (<85°C)
149,226.37,13.05,2.47,0.835,19.23,14.84,0.25,0.864,144.4,76.3,75.0,Light (<50%),Emergency (>130°C)
150,227.21,16.41,2.97,0.796,19.12,11.31,0.19,0.887,112.6,29.6,78.17950189467932,Light (<50%),Critical (105-130°C)
151,227.66,25.95,4.19,0.71,19.25,12.74,0.18,0.72,121.8,20.4,85.96509629578846,Heavy (>70%),Critical (105-130°C)
152,229.39,21.94,3.72,0.74,19.58,9.57,0.16,0.829,138.7,26.3,76.81000813925188,Medium (50-70%),Emergency (>130°C)
153,229.57,14.38,2.89,0.876,19.11,14.36,0.25,0.899,75.8,54.7,88.79022950375376,Light (<50%),Normal (<85°C)
154,225.05,24.2,3.93,0.721,19.59,9.28,0.16,0.898,93.8,54.6,89.21843419482143,Medium (50-70%),High (85-105°C)
155,225.56,14.06,2.51,0.792,19.15,8.49,0.14,0.847,124.3,59.7,77.79112828535192,Light (<50%),Critical (105-130°C)
156,229.13,22.88,3.76,0.717,19.4,8.48,0.12,0.728,66.8,37.4,90.02210446796474,Medium (50-70%),Normal (<85°C)
157,226.51,28.07,4.46,0.702,19.39,12.54,0.17,0.712,41.5,41.5,90.14067110530677,Heavy (>70%),Normal (<85°C)
158,226.55,12.94,2.59,0.883,19.18,11.92,0.17,0.744,43.4,30.7,84.99770352645508,Light (<50%),Normal (<85°C)
159,227.35,23.44,4.44,0.833,19.13,8.98,0.15,0.851,134.4,25.7,78.18250616682042,Medium (50-70%),Emergency (>130°C)
160,225.31,23.69,4.28,0.801,19.34,8.2,0.12,0.766,91.0,28.1,86.59112606209851,Medium (50-70%),High (85-105°C)
161,229.04,21.34,3.92,0.803,19.27,7.46,0.11,0.792,126.3,70.6,82.89493379517711,Medium (50-70%),Critical (105-130°C)
162,225.23,18.61,2.99,0.713,19.6,14.48,0.2,0.714,141.9,22.2,77.6649998547723,Medium (50-70%),Emergency (>130°C)
163,228.23,20.51,4.21,0.899,19.23,13.96,0.24,0.881,73.2,67.8,89.15330966141745,Medium (50-70%),Normal (<85°C)
164,225.89,23.43,4.27,0.806,19.44,8.78,0.12,0.701,29.8,40.9,91.44008131212735,Medium (50-70%),Normal (<85°C)
165,226.24,18.65,3.19,0.755,19.56,12.8,0.18,0.723,126.6,49.3,82.21824486555063,Medium (50-70%),Critical (105-130°C)
166,225.5,10.84,2.0,0.82,19.42,7.39,0.12,0.848,76.5,36.4,82.1516875468228,Light (<50%),Normal (<85°C)
167,226.45,30.39,5.82,0.846,19.19,11.78,0.19,0.835,66.4,41.1,85.45150286127226,Heavy (>70%),Normal (<85°C)
168,225.3,33.71,6.65,0.876,19.55,12.01,0.18,0.785,88.0,88.1,85.32620337194894,Heavy (>70%),High (85-105°C)
169,227.08,13.73,2.42,0.775,19.45,10.79,0.18,0.87,64.0,69.5,86.94335856563988,Light (<50%),Normal (<85°C)
170,227.79,13.35,2.28,0.749,19.12,12.17,0.21,0.884,131.2,26.5,75.0,Light (<50%),Emergency (>130°C)
171,228.01,31.84,5.36,0.738,19.46,12.79,0.2,0.812,86.0,80.9,83.48147928960674,Heavy (>70%),High (85-105°C)
172,229.81,12.93,2.67,0.9,19.29,8.94,0.14,0.821,52.2,84.1,82.60095038224878,Light (<50%),Normal (<85°C)
173,226.8,16.54,3.01,0.803,19.3,7.79,0.13,0.896,84.7,78.8,85.38757418239307,Light (<50%),Normal (<85°C)
174,226.11,13.65,2.32,0.752,19.56,11.63,0.18,0.784,45.7,43.1,83.27382389836306,Light (<50%),Normal (<85°C)
175,228.42,16.43,3.24,0.864,19.58,12.13,0.19,0.798,47.7,75.6,82.7906981690831,Light (<50%),Normal (<85°C)
176,227.71,26.05,4.22,0.712,19.02,13.77,0.23,0.889,109.2,73.5,84.39150869111037,Heavy (>70%),Critical (105-130°C)
177,225.05,22.64,3.95,0.775,19.37,12.33,0.2,0.823,86.4,54.1,84.22825294052495,Medium (50-70%),High (85-105°C)
178,226.37,34.44,5.48,0.703,19.49,12.39,0.21,0.861,138.9,27.5,75.0,Heavy (>70%),Emergency (>130°C)
179,229.08,16.68,2.98,0.779,19.22,10.25,0.16,0.813,148.8,35.8,75.02465747706357,Light (<50%),Emergency (>130°C)
180,228.8,12.34,2.19,0.776,19.33,7.45,0.1,0.702,48.1,55.0,83.913880940091,Light (<50%),Normal (<85°C)
181,225.48,23.2,3.71,0.709,19.13,13.94,0.23,0.878,85.5,23.3,88.42052959214395,Medium (50-70%),High (85-105°C)
182,225.16,33.22,5.71,0.763,19.58,11.7,0.19,0.85,114.7,47.9,77.60395168027524,Heavy (>70%),Critical (105-130°C)
183,226.95,32.41,5.63,0.766,19.45,8.12,0.14,0.898,116.1,55.1,80.44602397283953,Heavy (>70%),Critical (105-130°C)
184,226.7,29.23,5.9,0.891,19.24,13.19,0.18,0.706,60.6,89.5,89.18554383871863,Heavy (>70%),Normal (<85°C)
185,228.4,26.52,4.34,0.717,19.37,13.38,0.22,0.843,37.1,30.8,90.6400346860446,Heavy (>70%),Normal (<85°C)
186,225.53,10.13,1.74,0.762,19.22,9.16,0.13,0.727,50.0,51.4,82.06174286203577,Light (<50%),Normal (<85°C)
187,225.47,24.95,4.3,0.765,19.23,9.33,0.14,0.778,37.4,83.1,89.42874877017698,Heavy (>70%),Normal (<85°C)
188,226.9,13.47,2.32,0.76,19.3,7.51,0.11,0.787,78.8,53.9,80.35510106330669,Light (<50%),Normal (<85°C)
189,227.97,14.89,2.45,0.721,19.18,14.59,0.21,0.766,103.3,76.3,79.9285254013025,Light (<50%),High (85-105°C)
190,229.87,13.4,2.35,0.764,19.57,8.61,0.13,0.763,145.6,87.8,75.0,Light (<50%),Emergency (>130°C)
191,226.21,19.4,3.79,0.863,19.24,7.91,0.12,0.813,99.8,58.2,87.04486666849944,Medium (50-70%),High (85-105°C)
192,228.54,20.96,3.63,0.758,19.42,13.55,0.23,0.859,77.3,55.0,89.19570917389828,Medium (50-70%),Normal (<85°C)
193,228.95,11.85,2.44,0.898,19.29,10.21,0.16,0.801,140.2,68.4,75.0,Light (<50%),Emergency (>130°C)
194,227.68,25.95,4.24,0.717,19.46,12.26,0.18,0.771,106.6,23.1,85.43804833318882,Heavy (>70%),Critical (105-130°C)
195,229.83,20.76,3.35,0.702,19.16,11.09,0.17,0.804,98.4,60.3,85.08576986962044,Medium (50-70%),High (85-105°C)
196,227.5,18.62,2.99,0.705,19.06,10.33,0.18,0.892,41.3,85.8,84.31060197862494,Medium (50-70%),Normal (<85°C)
197,227.41,21.9,3.92,0.788,19.42,9.55,0.14,0.76,126.7,28.1,81.90306227855211,Medium (50-70%),Critical (105-130°C)
198,229.92,16.1,2.72,0.735,19.1,11.48,0.2,0.892,55.5,48.4,80.30757682302718,Light (<50%),Normal (<85°C)
199,228.07,14.93,2.79,0.818,19.23,12.64,0.18,0.741,119.5,76.6,75.0,Light (<50%),Critical (105-130°C)
200,226.63,21.44,3.65,0.752,19.52,11.22,0.18,0.828,100.4,62.8,85.86208803800928,Medium (50-70%),High (85-105°C)
201,229.07,27.65,4.81,0.759,19.37,7.68,0.11,0.727,41.5,41.4,88.99471731863377,Heavy (>70%),Normal (<85°C)
